# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
         3000       4.3077      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0     0.096055     0.315207     0.048988   0.00430732 -0.000573833  0.000718677            0            0            0     0.100362     0.314633    0.0497067
         3100      4.45271      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0877402     0.286384    0.0494694   0.00423997 -0.000561053  0.000729635            0            0            0    0.0919801     0.285823     0.050199
         3200      4.59854      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0834585     0.273083    0.0497193   0.00414575 -0.000514606   0.00076299            0            0            0    0.0876042     0.272568    0.0504823
         3300      4.74331      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0843198     0.274578    0.0495762    0.0040488 -0.000479378  0.000793935            0            0            0    0.0883686     0.274098    0.0503701
         3400      4.89056      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0795099     0.257904    0.0490465   0.00396225 -0.000438583  0.000827017            0            0            0    0.0834721     0.257465    0.0498735
         3500      5.03843      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0     0.071175     0.233047    0.0479007   0.00395828 -0.000424793  0.000833092            0            0            0    0.0751333     0.232623    0.0487338
         3600      5.18346      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0790878     0.258754    0.0477567   0.00395551 -0.000417152  0.000839869            0            0            0    0.0830433     0.258337    0.0485966
         3700      5.33156      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0774368     0.251215    0.0489303   0.00398613 -0.000430718  0.000850322            0            0            0    0.0814229     0.250785    0.0497807
         3800      5.48037      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0775829     0.252418    0.0499868   0.00402666 -0.000434757  0.000843524            0            0            0    0.0816096     0.251983    0.0508304
         3900       5.6287      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0843311     0.269057    0.0495126   0.00407398 -0.000464415  0.000844661            0            0            0    0.0884051     0.268592    0.0503573
         4000       5.7758      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0755572     0.242021    0.0494887   0.00411482 -0.000487343  0.000855955            0            0            0     0.079672     0.241533    0.0503446
         4100      5.92252      1.53791 -6.55725e-16  3.60822e-15   -0.0821453            0            0            0    0.0810584     0.257451    0.0495775   0.00411744 -0.000495699  0.000844284            0            0            0    0.0851759     0.256955    0.0504218
