# WRITE_FORCE NAME data/force INTERVAL 100 FAZONE WALL; SCALING 1
#           1            2            3            4            5            6            7            8            9           10           11           12           13           14           15           16           17           18           19           20           21
#        step         time         area       area-x       area-y       area-z     f-conv-x     f-conv-y     f-conv-z        f-p-x        f-p-y        f-p-z     f-visc-x     f-visc-y     f-visc-z     f-body-x     f-body-y     f-body-z    f-total-x    f-total-y    f-total-z
          100     0.180939      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0782725     0.276787    0.0064435   0.00725517  -0.00092668  0.000141939            0            0            0    0.0855277      0.27586   0.00658544
          200     0.259834      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0528825     0.254842   0.00857734   0.00676781  -0.00093279  0.000220205            0            0            0    0.0596503     0.253909   0.00879755
          300     0.348903      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0653917     0.270229    0.0102926    0.0064954 -0.000897421  0.000273856            0            0            0    0.0718871     0.269331    0.0105664
          400     0.439485      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0485845     0.194047    0.0123727   0.00629137 -0.000860454  0.000319504            0            0            0    0.0548758     0.193186    0.0126923
          500     0.523151      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0516838     0.204556    0.0108367   0.00601533 -0.000728153  0.000367152            0            0            0    0.0576992     0.203827    0.0112038
          600     0.604473      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0419908     0.193125    0.0108262   0.00588293 -0.000607038  0.000413325            0            0            0    0.0478737     0.192518    0.0112395
          700     0.683889      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0657124      0.26825    0.0127034   0.00574155 -0.000533631   0.00044645            0            0            0    0.0714539     0.267717    0.0131498
          800      0.76457      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0688043     0.279003    0.0158756   0.00564975  -0.00046917  0.000465081            0            0            0    0.0744541     0.278534    0.0163407
          900     0.845242      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0     0.088692     0.345295    0.0156912   0.00557856 -0.000423044  0.000489201            0            0            0    0.0942706     0.344872    0.0161804
         1000     0.927124      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0760863     0.294287    0.0145285   0.00547845  -0.00042379  0.000523615            0            0            0    0.0815648     0.293863    0.0150521
         1100       1.0093      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0691048     0.279256    0.0133131   0.00545895  -0.00036709  0.000556943            0            0            0    0.0745638     0.278889      0.01387
         1200      1.08799      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0870417     0.342866    0.0137346   0.00540045 -0.000373124  0.000587069            0            0            0    0.0924421     0.342493    0.0143217
         1300      1.16514      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0746135     0.307059    0.0131655   0.00541353 -0.000373584  0.000603178            0            0            0     0.080027     0.306685    0.0137687
         1400      1.24213      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0676414     0.272916    0.0133489   0.00542248 -0.000327225  0.000619421            0            0            0    0.0730639     0.272589    0.0139683
         1500      1.31867      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0764212     0.306769    0.0135704   0.00535489 -0.000352284  0.000642514            0            0            0    0.0817761     0.306416    0.0142129
         1600       1.3974      1.66431 -3.19189e-16 -4.71845e-16  -2.0112e-17            0            0            0    0.0713765     0.298367    0.0133347   0.00537604 -0.000360815  0.000664284            0            0            0    0.0767525     0.298006     0.013999
